2026-04-28 18:17:26 [INFO] [reachability-metadata-manager] [+] Dependency: classmate:1.5.1 | Refl: 2 | Proxy: 0
2026-04-28 18:17:27 [INFO] [reachability-metadata-manager] [+] Dependency: hibernate-core:5.6.14.Final | Refl: 260 | Proxy: 0
2026-04-28 18:17:27 [INFO] [reachability-metadata-manager] [+] Dependency: javax.persistence-api:2.2 | Refl: 2 | Proxy: 0
2026-04-28 18:17:29 [INFO] [reachability-metadata-manager] [+] Dependency: jandex:2.4.2.Final | Refl: 1 | Proxy: 0
2026-04-28 18:17:29 [INFO] [reachability-metadata-manager] [+] Dependency: javax.activation-api:1.2.0 | Refl: 1 | Proxy: 0
2026-04-28 18:17:30 [INFO] [reachability-metadata-manager] [+] Dependency: jaxb-runtime:2.3.7 | Refl: 10 | Proxy: 0
2026-04-28 18:17:33 [INFO] [reachability-metadata-manager] [+] Dependency: jakarta.activation:1.2.2 | Refl: 1 | Proxy: 0
2026-04-28 18:17:34 [INFO] [reachability-metadata-manager] [+] Dependency: httpclient:4.5.14 | Refl: 1 | Proxy: 0
2026-04-28 18:17:34 [INFO] [reachability-metadata-manager] [+] Dependency: httpcore:4.4.16 | Refl: 3 | Proxy: 0
2026-04-28 18:17:38 [INFO] [reachability-metadata-manager] [+] Dependency: commons-compress:1.21 | Refl: 14 | Proxy: 0
2026-04-28 18:17:39 [INFO] [reachability-metadata-manager] [+] Dependency: picocli:4.6.1 | Refl: 4 | Proxy: 0
2026-04-28 18:17:41 [INFO] [reachability-metadata-manager] [+] Dependency: asm:9.2 | Refl: 4 | Proxy: 0
2026-04-28 18:17:42 [INFO] [reachability-metadata-manager] [+] Dependency: kafka-clients:3.1.2 | Refl: 54 | Proxy: 0
2026-04-28 18:17:43 [INFO] [reachability-metadata-manager] [+] Dependency: zstd-jni:1.5.0-4 | Refl: 15 | Proxy: 0
2026-04-28 18:17:44 [INFO] [reachability-metadata-manager] [+] Dependency: lz4-java:1.8.0 | Refl: 24 | Proxy: 0
2026-04-28 18:17:44 [INFO] [reachability-metadata-manager] [+] Dependency: kafka-streams:3.1.2 | Refl: 14 | Proxy: 0
2026-04-28 18:17:45 [INFO] [reachability-metadata-manager] [+] Dependency: rocksdbjni:6.22.1.1 | Refl: 4 | Proxy: 0
2026-04-28 18:17:50 [INFO] [reachability-metadata-manager] [+] Dependency: javax.servlet-api:4.0.1 | Refl: 1 | Proxy: 0
2026-04-28 18:17:53 [INFO] [reachability-metadata-manager] [+] Dependency: reactor-core:3.4.26 | Refl: 3 | Proxy: 0
2026-04-28 18:17:58 [INFO] [reachability-metadata-manager] [+] Dependency: kotlin-stdlib:1.6.21 | Refl: 1 | Proxy: 0
2026-04-28 18:18:00 [INFO] [reachability-metadata-manager] [+] Dependency: quartz:2.3.2 | Refl: 8 | Proxy: 0
2026-04-28 18:18:01 [INFO] [reachability-metadata-manager] [+] Dependency: mchange-commons-java:0.2.15 | Refl: 125 | Proxy: 0
2026-04-28 18:18:04 [INFO] [reachability-metadata-manager] [+] Dependency: commons-compress:1.19 | Refl: 14 | Proxy: 0
2026-04-28 18:18:15 [INFO] [reachability-metadata-manager] [+] Dependency: joda-time:2.10.10 | Refl: 3 | Proxy: 0
2026-04-28 18:18:16 [INFO] [reachability-metadata-manager] [+] Dependency: jna:5.10.0 | Refl: 50 | Proxy: 0
2026-04-28 18:18:24 [INFO] [reachability-metadata-manager] [+] Dependency: postgresql:42.3.8 | Refl: 8 | Proxy: 0
2026-04-28 18:18:29 [INFO] [reachability-metadata-manager] [+] Dependency: netty-transport-classes-epoll:4.1.86.Final | Refl: 27 | Proxy: 0
2026-04-28 18:18:30 [INFO] [reachability-metadata-manager] [+] Dependency: netty-transport:4.1.86.Final | Refl: 3 | Proxy: 0
2026-04-28 18:18:31 [INFO] [reachability-metadata-manager] [+] Dependency: netty-common:4.1.86.Final | Refl: 750 | Proxy: 0
2026-04-28 18:18:34 [INFO] [reachability-metadata-manager] [+] Dependency: HikariCP:4.0.3 | Refl: 9 | Proxy: 0
2026-04-28 18:18:37 [INFO] [reachability-metadata-manager] [+] Dependency: thymeleaf:3.0.15.RELEASE | Refl: 59 | Proxy: 0
2026-04-28 18:18:42 [INFO] [reachability-metadata-manager] [+] Dependency: mysql-connector-j:8.0.31 | Refl: 24 | Proxy: 0
2026-04-28 18:18:42 [INFO] [reachability-metadata-manager] [+] Dependency: mariadb-java-client:3.0.9 | Refl: 3 | Proxy: 0
2026-04-28 18:18:46 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-el:9.0.70 | Refl: 25 | Proxy: 0
2026-04-28 18:18:47 [INFO] [reachability-metadata-manager] [+] Dependency: bcpkix-jdk15on:1.68 | Refl: 90 | Proxy: 0
2026-04-28 18:18:48 [INFO] [reachability-metadata-manager] [+] Dependency: org.eclipse.jgit:5.12.0.202106070339-r | Refl: 16 | Proxy: 0
2026-04-28 18:19:06 [INFO] [reachability-metadata-manager] [+] Dependency: kotlin-reflect:1.6.21 | Refl: 10 | Proxy: 0
2026-04-28 18:19:07 [INFO] [reachability-metadata-manager] [+] Dependency: jakarta.mail:1.6.7 | Refl: 8 | Proxy: 0
2026-04-28 18:19:10 [INFO] [reachability-metadata-manager] [+] Dependency: ehcache:3.10.8 | Refl: 534 | Proxy: 0
2026-04-28 18:19:10 [INFO] [reachability-metadata-manager] [+] Dependency: hazelcast:5.1.5 | Refl: 597 | Proxy: 0
2026-04-28 18:19:13 [INFO] [reachability-metadata-manager] [+] Dependency: caffeine:2.9.3 | Refl: 38 | Proxy: 0
2026-04-28 18:19:16 [INFO] [reachability-metadata-manager] [+] Dependency: jetty-util:9.4.50.v20221201 | Refl: 2 | Proxy: 0
2026-04-28 18:19:17 [INFO] [reachability-metadata-manager] [+] Dependency: jetty-client:9.4.50.v20221201 | Refl: 49 | Proxy: 0
2026-04-28 18:19:18 [INFO] [reachability-metadata-manager] [+] Dependency: jetty-server:9.4.50.v20221201 | Refl: 33 | Proxy: 0
2026-04-28 18:19:19 [INFO] [reachability-metadata-manager] [+] Dependency: undertow-core:2.2.22.Final | Refl: 64 | Proxy: 0
2026-04-28 18:19:21 [INFO] [reachability-metadata-manager] [+] Dependency: commons-pool2:2.11.1 | Refl: 1 | Proxy: 0
2026-04-28 18:19:23 [INFO] [reachability-metadata-manager] [+] Dependency: commons-io:2.11.0 | Refl: 4 | Proxy: 0
2026-04-28 18:19:24 [INFO] [reachability-metadata-manager] [+] Dependency: okio:2.8.0 | Refl: 1 | Proxy: 0
2026-04-28 18:19:27 [INFO] [reachability-metadata-manager] [+] Dependency: consul-api:1.4.5 | Refl: 111 | Proxy: 0
2026-04-28 18:19:41 [INFO] [reachability-metadata-manager] [+] Dependency: commons-io:2.5 | Refl: 4 | Proxy: 0
2026-04-28 18:19:44 [INFO] [reachability-metadata-manager] [+] Dependency: commons-lang3:3.12.0 | Refl: 28 | Proxy: 0
2026-04-28 18:19:57 [INFO] [reachability-metadata-manager] [+] Dependency: jna:5.6.0 | Refl: 50 | Proxy: 0
2026-04-28 18:20:00 [INFO] [reachability-metadata-manager] [+] Dependency: jna:5.7.0 | Refl: 50 | Proxy: 0
2026-04-28 18:20:00 [INFO] [reachability-metadata-manager] --- [END OF ANALYSIS: 518 deps processed for spring-native] ---
2026-05-01 13:02:19 [INFO] [reachability-metadata-manager] --- [START ANALYSIS: piggymetrics] ---
2026-05-01 13:02:22 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-annotations:2.9.0 | Refl: 2 | Proxy: 0
2026-05-01 13:02:22 [INFO] [reachability-metadata-manager] [+] Dependency: jackson-databind:2.9.6 | Refl: 18 | Proxy: 0
2026-05-01 13:02:25 [INFO] [reachability-metadata-manager] [+] Dependency: HdrHistogram:2.1.10 | Refl: 12 | Proxy: 0
2026-05-01 13:02:25 [INFO] [reachability-metadata-manager] [+] Dependency: LatencyUtils:2.0.3 | Refl: 3 | Proxy: 0
2026-05-01 13:02:27 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-core:8.5.31 | Refl: 105 | Proxy: 0
2026-05-01 13:02:27 [INFO] [reachability-metadata-manager] [+] Dependency: tomcat-embed-el:8.5.31 | Refl: 25 | Proxy: 0
2026-05-01 13:02:28 [INFO] [reachability-metadata-manager] [+] Dependency: hibernate-validator:6.0.10.Final | Refl: 356 | Proxy: 0
2026-05-01 13:02:29 [INFO] [reachability-metadata-manager] [+] Dependency: validation-api:2.0.1.Final | Refl: 2 | Proxy: 0
2026-05-01 13:02:29 [INFO] [reachability-metadata-manager] [+] Dependency: jboss-logging:3.3.2.Final | Refl: 12 | Proxy: 0
2026-05-01 13:02:30 [INFO] [reachability-metadata-manager] [+] Dependency: classmate:1.3.4 | Refl: 2 | Proxy: 0
2026-05-01 13:02:31 [INFO] [reachability-metadata-manager] [+] Dependency: spring-security-crypto:5.0.6.RELEASE | Refl: 21 | Proxy: 0
2026-05-01 13:02:31 [INFO] [reachability-metadata-manager] [+] Dependency: bcpkix-jdk15on:1.56 | Refl: 90 | Proxy: 0
2026-05-01 13:02:32 [INFO] [reachability-metadata-manager] [+] Dependency: org.eclipse.jgit:4.11.0.201803080745-r | Refl: 16 | Proxy: 0
